entity1,entity2,relation
亚瑟·韦斯莱,伪劣防御咒及防护用品侦查收缴办公室,从属
亚瑟·韦斯莱,伪劣防御咒及防护用品侦查收缴办公室主任,职业
亚瑟·韦斯莱,凤凰社,从属
亚瑟·韦斯莱,吉迪翁·普威特,大舅子
亚瑟·韦斯莱,哈利·波特,女婿
亚瑟·韦斯莱,塞德瑞拉·布莱克,母亲
亚瑟·韦斯莱,塞普蒂默斯·韦斯莱,父亲
亚瑟·韦斯莱,多米尼克·韦斯莱,孙女
亚瑟·韦斯莱,奥黛丽·韦斯莱,儿媳
亚瑟·韦斯莱,安吉利娜·约翰逊,儿媳
亚瑟·韦斯莱,弗雷德·韦斯莱,儿子
亚瑟·韦斯莱,弗雷德·韦斯莱二世,孙子
亚瑟·韦斯莱,普威特先生,岳父
亚瑟·韦斯莱,普威特夫人,岳母
亚瑟·韦斯莱,普威特家族,从属
亚瑟·韦斯莱,查理·韦斯莱,儿子
亚瑟·韦斯莱,格兰芬多学院,从属
亚瑟·韦斯莱,比利尔斯,兄弟或舅子
亚瑟·韦斯莱,比尔·韦斯莱,儿子
亚瑟·韦斯莱,波特家族,从属
亚瑟·韦斯莱,珀西·韦斯莱,儿子
亚瑟·韦斯莱,禁止滥用麻瓜物品办公室,从属
亚瑟·韦斯莱,禁止滥用麻瓜物品办公室主任,职业
亚瑟·韦斯莱,穆丽尔,姨岳母
亚瑟·韦斯莱,维克托娃·韦斯莱,孙女
亚瑟·韦斯莱,罗丝·韦斯莱,孙女
亚瑟·韦斯莱,罗克珊·韦斯莱,孙女
亚瑟·韦斯莱,罗恩·韦斯莱,儿子
亚瑟·韦斯莱,芙蓉·德拉库尔,儿媳
亚瑟·韦斯莱,英国魔法部,从属
亚瑟·韦斯莱,莉莉·卢娜·波特,外孙女
亚瑟·韦斯莱,莫丽·韦斯莱,妻子
亚瑟·韦斯莱,莫丽·韦斯莱二世,孙女
亚瑟·韦斯莱,莱桑德拉·亚克斯利,外祖母
亚瑟·韦斯莱,詹姆·小天狼星·波特,外孙
亚瑟·韦斯莱,费比安·普威特,大舅子
亚瑟·韦斯莱,赫敏·格兰杰,儿媳
亚瑟·韦斯莱,路易·韦斯莱,孙子
亚瑟·韦斯莱,金妮·韦斯莱,女儿
亚瑟·韦斯莱,阿不思·西弗勒斯·波特,外孙
亚瑟·韦斯莱,阿克图勒斯·布莱克二世,外祖父
亚瑟·韦斯莱,雨果·韦斯莱,孙子
亚瑟·韦斯莱,霍格沃茨魔法学校,从属
亚瑟·韦斯莱,露西·韦斯莱,孙女
亚瑟·韦斯莱,韦斯莱家族,从属
亚瑟·韦斯莱,魔法法律执行司,从属
亨利·波特,威森加摩,从属
亨利·波特,尤菲米娅·波特,儿媳
亨利·波特,弗利蒙·波特,儿子
亨利·波特,波特夫人，原姓弗利蒙,母亲
亨利·波特,波特家族,从属
亨利·波特,詹姆·波特,孙子
亨利七世,亨利八世,儿子
亨利七世,伊丽莎白一世,孙女
亨利七世,威廉一世,祖先
亨利七世,威廉三世,后裔
亨利七世,安妮·博林,儿媳
亨利七世,玛丽一世,孙女
亨利七世,玛丽二世,后裔
亨利八世,亨利七世,父亲
亨利八世,伊丽莎白一世,女儿
亨利八世,威廉一世,祖先
亨利八世,安妮·博林,第二任妻子
亨利八世,玛丽一世,女儿
亨利六世,威廉一世,祖先
伊万斯姐妹的父亲,伊万斯夫人,妻子
伊万斯姐妹的父亲,佩妮·伊万斯,女儿
伊万斯姐妹的父亲,哈利·波特,外孙
伊万斯姐妹的父亲,弗农·德思礼,女婿
伊万斯姐妹的父亲,莉莉·伊万斯,女儿
伊万斯姐妹的父亲,詹姆·波特,女婿
伊万斯姐妹的父亲,达力·德思礼,外孙
伊万杰琳·奥平顿,英国魔法部,从属
伊索特·塞耶,伊尔弗莫尼魔法学校,从属
伊索特·塞耶,塞耶家族,从属
伊索特·塞耶,威廉·塞耶,父亲
伊索特·塞耶,斯图尔特家族,从属
伊索特·塞耶,查威克·布特,养子
伊索特·塞耶,玛莎·斯图尔特二世,女儿
伊索特·塞耶,莫瑞根,父系祖先
伊索特·塞耶,萨拉查·斯莱特林,母系祖先
伊索特·塞耶,葛姆蕾·冈特,姨妈
伊索特·塞耶,詹姆·斯图尔特,丈夫
伊索特·塞耶,雷欧娜·塞耶,母亲
伊索特·塞耶,雷欧娜·斯图尔特,女儿
伊索特·塞耶,韦伯·布特,养子
伍德克罗夫特的汉吉斯,霍格莫德村,从属
佩内洛·克里瓦特,克里瓦特家族,从属
佩内洛·克里瓦特,拉文克劳,从属
佩内洛·克里瓦特,霍格沃茨魔法学校,从属
佩妮·德思礼,伊万斯先生,父亲
佩妮·德思礼,伊万斯夫人,母亲
佩妮·德思礼,伊万斯家庭,从属
佩妮·德思礼,哈利·波特,外甥
佩妮·德思礼,家庭主妇,职业
佩妮·德思礼,弗农·德思礼,丈夫
佩妮·德思礼,德思礼夫人,儿媳
佩妮·德思礼,德思礼夫人,婆婆
佩妮·德思礼,德思礼家庭,从属
佩妮·德思礼,格朗宁公司的上班族,职业
佩妮·德思礼,玛姬·德思礼,大姑
佩妮·德思礼,莉莉·伊万斯,妹妹
佩妮·德思礼,莉莉·卢娜·波特,外甥孙女
佩妮·德思礼,詹姆·小天狼星·波特,外甥孙
佩妮·德思礼,詹姆·波特,妹夫
佩妮·德思礼,达力·德思礼,儿子
佩妮·德思礼,金妮·韦斯莱,外甥媳婦
佩妮·德思礼,阿不思·西弗勒斯·波特,外甥孙
兰登·肖,小亨利·肖,哥哥
兰登·肖,老亨利·肖,父亲
刚度富士·格雷维斯,珀西瓦尔·格雷维斯,后裔
刚度富士·格雷维斯,美国魔法国会,从属
卡斯提蒂·巴瑞波恩,克莱登斯·巴瑞波恩,义兄
卡斯提蒂·巴瑞波恩,巴瑞波恩家族,从属
卡斯提蒂·巴瑞波恩,新塞勒姆慈善协会,从属
卡斯提蒂·巴瑞波恩,玛丽·卢·巴瑞波恩,养母
卡斯提蒂·巴瑞波恩,莫迪丝蒂·巴瑞波恩,义妹
卡洛斯·洛佩兹,美国魔法国会,从属
卢修斯·马尔福,卢修斯·马尔福一世,祖先
卢修斯·马尔福,安多米达·唐克斯,大姨
卢修斯·马尔福,尼法朵拉·唐克斯,侄女
卢修斯·马尔福,布鲁图斯·马尔福,祖先
卢修斯·马尔福,德拉科·马尔福,儿子
卢修斯·马尔福,德鲁埃拉·布莱克,岳母
卢修斯·马尔福,斯科皮·马尔福,孙子
卢修斯·马尔福,斯莱特林,从属
卢修斯·马尔福,泰德·唐克斯,姐夫
卢修斯·马尔福,纳西莎·布莱克,妻子
卢修斯·马尔福,罗道夫斯·莱斯特兰奇,姐夫
卢修斯·马尔福,西格纳斯·布莱克三世,岳父
卢修斯·马尔福,贝拉特里克斯·莱斯特兰奇,大姨
卢修斯·马尔福,阿布拉克萨斯·马尔福,父亲
卢修斯·马尔福,阿斯托里亚·格林格拉斯,儿媳
卢修斯·马尔福,阿曼德·马尔福,祖先
卢修斯·马尔福,霍格沃茨魔法学校,从属
卢修斯·马尔福,霍格沃茨魔法学校董事会,职业
卢修斯·马尔福,食死徒,从属
卢修斯·马尔福,马尔福家族,从属
卢修斯·马尔福,魔法部,从属
卢修斯·马尔福,魔法部官员,职业
卢修斯·马尔福,鼻涕虫俱乐部,从属
卢多·巴格曼,奥托·巴格曼,弟弟
卢多·巴格曼,巴格曼先生,父亲
卢多·巴格曼,巴格曼家庭,从属
卢多·巴格曼,温布恩黄蜂队,从属
卢多·巴格曼,温布恩黄蜂队击球手,职业
卢多·巴格曼,英格兰魁地奇代表队击球手,职业
卢多·巴格曼,魔法体育运动司司长,职业
卢多·巴格曼,魔法部,从属
卢娜·洛夫古德,《唱唱反调》,从属
卢娜·洛夫古德,凤凰社,从属
卢娜·洛夫古德,拉文克劳学院,从属
卢娜·洛夫古德,斯卡曼德家族,从属
卢娜·洛夫古德,波尔蓬蒂娜·斯卡曼德,祖婆
卢娜·洛夫古德,洛夫古德家庭,从属
卢娜·洛夫古德,洛肯·斯卡曼德,儿子
卢娜·洛夫古德,潘多拉·洛夫古德,母亲
卢娜·洛夫古德,纳威·隆巴顿,同门
卢娜·洛夫古德,纽特·斯卡曼德,祖翁
卢娜·洛夫古德,罗夫·斯卡曼德,丈夫
卢娜·洛夫古德,莱桑德·斯卡曼德,儿子
卢娜·洛夫古德,谢诺菲留斯·洛夫古德,父亲
卢娜·洛夫古德,赫敏·格兰杰,同门
卢娜·洛夫古德,邓布利多军,从属
卢娜·洛夫古德,霍格沃茨魔法学校,从属
厄克特,斯莱特林,从属
厄克特,斯莱特林魁地奇球队,从属
厄克特,霍格沃茨魔法学校,从属
厄尼·麦克米兰,安东尼·戈德斯坦,同门
厄尼·麦克米兰,汉娜·艾博,同门
厄尼·麦克米兰,罗恩·韦斯莱,同门
厄尼·麦克米兰,赫奇帕奇,从属
厄尼·麦克米兰,邓布利多军,从属
厄尼·麦克米兰,霍格沃茨魔法学校,从属
厄尼·麦克米兰,麦克米兰家族,从属
吉德罗·洛哈特,作家,职业
吉德罗·洛哈特,圣芒戈魔法伤病医院,从属
吉德罗·洛哈特,梅林爵士团勋章,从属
吉德罗·洛哈特,洛哈特先生,父亲
吉德罗·洛哈特,洛哈特夫人,母亲
吉德罗·洛哈特,洛哈特家庭,从属
吉德罗·洛哈特,霍格沃茨魔法学校,从属
吉德罗·洛哈特,霍格沃茨魔法学校黑魔法防御术教授(1992年-1993年),职业
吉德罗·洛哈特,黑魔法防御联盟,从属
吉德罗·洛哈特的姐姐,吉德罗·洛哈特,弟弟
吉德罗·洛哈特的姐姐,洛哈特先生,父亲
吉德罗·洛哈特的姐姐,洛哈特夫人,母亲
吉德罗·洛哈特的父亲,吉德罗·洛哈特,儿子
吉德罗·洛哈特的父亲,洛哈特夫人,妻子
吉米·珀克斯,乔治·韦斯莱,同门
吉米·珀克斯,弗雷德·韦斯莱,同门
吉米·珀克斯,格兰芬多,从属
吉米·珀克斯,格兰芬多魁地奇球队,从属
吉米·珀克斯,珀克斯家族,从属
吉米·珀克斯,阿不思·邓布利多,学生
吉米·珀克斯,霍格沃茨魔法学校,从属
吉迪翁·普威特,亚瑟·韦斯莱,妹夫
吉迪翁·普威特,伊格内修斯·普威特,叔叔
吉迪翁·普威特,凤凰社,从属
吉迪翁·普威特,卢克丽霞·布莱克,阿姨
吉迪翁·普威特,普威特先生,父亲
吉迪翁·普威特,普威特夫人,母亲
吉迪翁·普威特,普威特家族,从属
吉迪翁·普威特,比利尔斯,可能是兄弟
吉迪翁·普威特,穆丽尔,姨妈
吉迪翁·普威特,莫丽·韦斯莱,妹妹
吉迪翁·普威特,费比安·普威特,弟弟
哈利·波特,S.P.E.W.,从属
哈利·波特,乔治·韦斯莱,内兄
哈利·波特,亚瑟·韦斯莱,岳父
哈利·波特,伊万斯先生,外祖父
哈利·波特,伊万斯夫人,外祖母
哈利·波特,伊格诺图斯·佩弗利尔,父系祖先
哈利·波特,佩妮·德思礼,姨妈
哈利·波特,傲罗办公室,从属
哈利·波特,傲罗办公室主任,职业
哈利·波特,凤凰社,从属
哈利·波特,卢娜·洛夫古德,同门
哈利·波特,塞德里克·迪戈里,同门
哈利·波特,多米尼克·韦斯莱,侄女
哈利·波特,奥利弗·伍德,同门
哈利·波特,奥黛丽·韦斯莱,嫂子
哈利·波特,安吉利娜·约翰逊,嫂子
哈利·波特,尤菲米娅·波特,祖母
哈利·波特,弗农·德思礼,姨父
哈利·波特,弗利蒙·波特,祖父
哈利·波特,弗雷德·韦斯莱,内兄
哈利·波特,弗雷德·韦斯莱二世,侄子
哈利·波特,德思礼夫人,表嫂
哈利·波特,德拉科·马尔福,同门
哈利·波特,扎卡赖斯·史密斯,同门
哈利·波特,斯廷奇库姆的林弗雷德,父系祖先
哈利·波特,查理·韦斯莱,内兄
哈利·波特,格兰芬多学院,从属
哈利·波特,格兰芬多魁地奇球队,从属
哈利·波特,比尔·韦斯莱,内兄
哈利·波特,汤姆·里德尔,远房亲戚
哈利·波特,波特家族,从属
哈利·波特,珀西·韦斯莱,内兄
哈利·波特,秋·张,同门
哈利·波特,米勒娃·麦格,学生
哈利·波特,纳威·隆巴顿,同门
哈利·波特,维克托娃·韦斯莱,侄女
哈利·波特,罗丝·韦斯莱,侄女
哈利·波特,罗克珊·韦斯莱,侄女
哈利·波特,罗恩·韦斯莱,内兄
哈利·波特,芙蓉·德拉库尔,嫂子
哈利·波特,英国魔法部,从属
哈利·波特,莉莉·卢娜·波特,女儿
哈利·波特,莉莉·波特,母亲
哈利·波特,莫丽·韦斯莱,岳母
哈利·波特,莫丽·韦斯莱二世,侄女
哈利·波特,莱姆斯·卢平,学生
哈利·波特,西弗勒斯·斯内普,学生
哈利·波特,西莫·斐尼甘,同门
哈利·波特,詹姆·小天狼星·波特,儿子
哈利·波特,詹姆·波特,父亲
哈利·波特,赫敏·格兰杰,嫂子
哈利·波特,路易斯·韦斯莱,侄子
哈利·波特,达力·德思礼,表哥
哈利·波特,达力的孩子,表侄
哈利·波特,邓布利多军,从属
哈利·波特,金妮·波特,妻子
哈利·波特,阿不思·西弗勒斯·波特,儿子
哈利·波特,阿不思·邓布利多,从属
哈利·波特,阿不思·邓布利多,学生
哈利·波特,雨果·韦斯莱,侄子
哈利·波特,霍格沃茨魔法学校,从属
哈利·波特,露西·韦斯莱,侄女
哈利·波特,韦斯莱家族,从属
哈利·波特,魔法法律执行司,从属
哈利·波特,鲁伯·海格,学生
哈利·波特,黑魔法防御术兼职讲师,职业
哈利·波特,鼻涕虫俱乐部,从属
哈米什·麦克法兰,职业魁地奇球员,职业
哈米什·麦克法兰,蒙特罗斯喜鹊队,从属
哈米什·麦克法兰,魔法体育运动司司长,职业
哈米什·麦克法兰,魔法部,从属
哈罗德·丁戈,霍格沃茨魔法学校,从属
埃尔德·沃普尔,霍格沃茨魔法学校,从属
埃尔德·沃普尔,鼻涕虫俱乐部,从属
埃尔芬斯通·埃尔科特,伊泽贝尔·罗斯,岳母
埃尔芬斯通·埃尔科特,埃尔科特家庭,从属
埃尔芬斯通·埃尔科特,小罗伯特·麦格,小舅
埃尔芬斯通·埃尔科特,米勒娃·麦格,妻子
埃尔芬斯通·埃尔科特,老罗伯特·麦格,岳父
埃尔芬斯通·埃尔科特,马尔科姆·麦格,小舅
埃尔芬斯通·埃尔科特,魔法法律执行司,从属
埃尔芬斯通·埃尔科特,魔法部,从属
埃尔芬斯通·埃尔科特,麦格家族,从属
埃德里奇·迪戈里,霍格沃茨魔法学校,从属
埃德里奇·迪戈里,魔法部,从属
塞德里克·迪戈里,赫奇帕奇学院,从属
塞德里克·迪戈里,赫奇帕奇魁地奇球队,从属
塞德里克·迪戈里,迪戈里家族,从属
塞德里克·迪戈里,霍格沃茨魔法学校,从属
塞普蒂默斯·马尔福,卢修斯·马尔福,后裔
塞普蒂默斯·马尔福,尼古拉斯·马尔福,祖先
塞普蒂默斯·马尔福,布鲁图斯·马尔福,祖先
塞普蒂默斯·马尔福,德拉科·马尔福,后裔
塞普蒂默斯·马尔福,斯科皮·马尔福,后裔
塞普蒂默斯·马尔福,阿布拉克萨斯·马尔福,后裔
塞普蒂默斯·马尔福,阿曼德·马尔福,祖先
塞普蒂默斯·马尔福,魔法部,从属
塞普蒂默斯·马尔福,魔法部部长顾问,职业
塞蒂娜·沃贝克的母亲,厄文·瓦布尔,第三任女婿
塞蒂娜·沃贝克的母亲,塞蒂娜·沃贝克,女儿
塞蒂娜·沃贝克的母亲,沃贝克先生,丈夫
塞蒂娜·沃贝克的父亲,厄文·瓦布尔,第三任女婿
塞蒂娜·沃贝克的父亲,塞蒂娜·沃贝克,女儿
塞蒂娜·沃贝克的父亲,沃贝克夫人,妻子
夏比,赫奇帕奇,从属
夏比,赫奇帕奇魁地奇球队,从属
夏比,霍格沃茨,从属
多卡斯·十二树,亚里斯多德·十二树,父亲
多卡斯·十二树,十二树家庭,从属
多洛雷斯·乌姆里奇,埃伦·克拉克内尔,母亲
多洛雷斯·乌姆里奇,奥福德·乌姆里奇,父亲
多洛雷斯·乌姆里奇,威森加摩,从属
多洛雷斯·乌姆里奇,调查行动组,从属
多洛雷斯·乌姆里奇,霍格沃茨,职业
多洛雷斯·乌姆里奇,霍格沃茨校长,职业
多洛雷斯·乌姆里奇,霍格沃茨魔法学校,从属
多洛雷斯·乌姆里奇,食死徒,从属
多洛雷斯·乌姆里奇,高级调查官,职业
多洛雷斯·乌姆里奇,魔法部,从属
多洛雷斯·乌姆里奇,魔法部高级副部长,职业
多洛雷斯·乌姆里奇,麻瓜出身登记委员会,从属
多洛雷斯·乌姆里奇,麻瓜出身登记委员会主任,职业
多纳汉·特姆利特,古怪姐妹演唱组,从属
多纳汉·特姆利特,特姆利特先生,父亲
多纳汉·特姆利特,特姆利特夫人,母亲
多纳汉·特姆利特,特姆利特家庭,从属
奥利弗·伍德,伍德先生,父亲
奥利弗·伍德,伍德夫人,母亲
奥利弗·伍德,弗雷德·韦斯莱,同门
奥利弗·伍德,普德米尔联队,从属
奥利弗·伍德,格兰芬多,从属
奥利弗·伍德,格兰芬多魁地奇球队,从属
奥利弗·伍德,霍格沃茨魔法学校,从属
奥古斯特·卢克伍德,伏地魔,从属
奥古斯特·卢克伍德,神秘事务司,从属
奥古斯特·卢克伍德,英国魔法部,从属
奥古斯特·卢克伍德,食死徒,从属
奥罗拉·辛尼斯塔,天文学家,职业
奥罗拉·辛尼斯塔,天文学系,从属
奥罗拉·辛尼斯塔,天文学系教授(早于1991年,职业
奥罗拉·辛尼斯塔,霍格沃茨魔法学校,从属
奥赖恩·布莱克,伊尔玛·克拉布,岳母
奥赖恩·布莱克,伊格内修斯·普威特,姐夫
奥赖恩·布莱克,卢克丽霞·布莱克,姐姐
奥赖恩·布莱克,天狼星·布莱克二世,祖父
奥赖恩·布莱克,安多米达·唐克斯,侄女
奥赖恩·布莱克,小天狼星·布莱克,儿子
奥赖恩·布莱克,布莱克家族,从属
奥赖恩·布莱克,帕勒克斯·布莱克,岳父
奥赖恩·布莱克,斯莱特林,从属
奥赖恩·布莱克,梅拉尼娅·麦克米兰,母亲
奥赖恩·布莱克,沃尔布加·布莱克,妻子
奥赖恩·布莱克,海斯帕·甘普,祖母
奥赖恩·布莱克,纳西莎·马尔福,侄女
奥赖恩·布莱克,莱克里丝·布莱克,姑妈
奥赖恩·布莱克,西格纳斯·布莱克三世,小舅
奥赖恩·布莱克,贝拉特里克斯·莱斯特兰奇,侄女
奥赖恩·布莱克,阿克图勒斯·布莱克三世,父亲
奥赖恩·布莱克,阿尔法德·布莱克,小舅
奥赖恩·布莱克,雷古勒斯·布莱克,儿子
奥赖恩·布莱克,雷古勒斯·布莱克一世,叔叔
奥赖恩·布莱克,霍格沃茨魔法学校,从属
威基·泰克罗斯,幻影显形课指导教师,职业
威基·泰克罗斯,英国魔法部,从属
威基·泰克罗斯,英国魔法部雇员,职业
威基·泰克罗斯,霍格沃茨魔法学校,从属
威尔克斯,霍格沃茨魔法学校,从属
威尔克斯,食死徒,从属
威尔海姆·费歇尔,美国魔法国会,从属
安东宁·多洛霍夫,伏地魔,从属
安东宁·多洛霍夫,多洛霍夫家族,从属
安东宁·多洛霍夫,食死徒,从属
安东尼·戈德斯坦,奎妮·戈德斯坦,远亲
安东尼·戈德斯坦,戈德斯坦家族,从属
安东尼·戈德斯坦,拉文克劳,从属
安东尼·戈德斯坦,波尔蓬蒂娜·斯卡曼德,远亲
安东尼·戈德斯坦,邓布利多军,从属
安东尼·戈德斯坦,霍格沃茨魔法学校,从属
安多米达·唐克斯,伊尔玛·克拉布,祖母
安多米达·唐克斯,卢修斯·马尔福,妹夫
安多米达·唐克斯,唐克斯家族,亲家
安多米达·唐克斯,奥赖恩·布莱克,姑父
安多米达·唐克斯,小天狼星·布莱克,表弟
安多米达·唐克斯,尼法朵拉·唐克斯,女儿
安多米达·唐克斯,布莱克家族,母氏家族
安多米达·唐克斯,帕勒克斯·布莱克,祖父
安多米达·唐克斯,德拉科·马尔福,外甥
安多米达·唐克斯,德鲁埃拉·罗齐尔,母亲
安多米达·唐克斯,沃尔布加·布莱克,姑妈
安多米达·唐克斯,泰德·唐克斯,丈夫
安多米达·唐克斯,泰迪·卢平,外孙子
安多米达·唐克斯,纳西莎·马尔福,妹妹
安多米达·唐克斯,罗道夫斯·莱斯特兰奇,姐夫
安多米达·唐克斯,罗齐尔家族,母氏家族
安多米达·唐克斯,莱姆斯·卢平,女婿
安多米达·唐克斯,西格纳斯·布莱克三世,父亲
安多米达·唐克斯,贝拉特里克斯·莱斯特兰奇,姐姐
安多米达·唐克斯,阿尔法德·布莱克,叔叔
安多米达·唐克斯,雷古勒斯·布莱克,表弟
安布罗修·弗鲁姆,蜂蜜公爵,从属
安布罗修·弗鲁姆,霍格沃茨魔法学校,从属
安布罗修·弗鲁姆,鼻涕虫俱乐部,从属
安德鲁·柯克,格兰芬多魁地奇球队,从属
安德鲁·柯克,霍格沃茨魔法学校,从属
小亨利·肖,兰登·肖,弟弟
小亨利·肖,美国参议院,从属
小亨利·肖,老亨利·肖,父亲
小亨利·肖,肖家族,从属
小天狼星·布莱克,伊尔玛·克拉布,外婆
小天狼星·布莱克,伊格内修斯·普威特,父
小天狼星·布莱克,凤凰社,从属
小天狼星·布莱克,劫猎者,从属
小天狼星·布莱克,卢克丽霞·布莱克,父
小天狼星·布莱克,奥赖恩·布莱克,父亲
小天狼星·布莱克,安多米达·唐克斯,表姐
小天狼星·布莱克,布莱克家族,从属
小天狼星·布莱克,帕勒克斯·布莱克,外公
小天狼星·布莱克,德鲁埃拉·罗齐尔,母
小天狼星·布莱克,梅拉尼娅·麦克米兰,奶奶
小天狼星·布莱克,沃尔布加·布莱克,母亲
小天狼星·布莱克,波特家族,从属
小天狼星·布莱克,纳西莎·马尔福,表姐
小天狼星·布莱克,菲尼亚斯·奈杰勒斯·布莱克,父系
小天狼星·布莱克,西格纳斯·布莱克三世,叔叔
小天狼星·布莱克,贝拉特里克斯·莱斯特兰奇,表姐
小天狼星·布莱克,阿克图勒斯·布莱克三世,爷爷
小天狼星·布莱克,阿尔法德·布莱克,叔叔
小天狼星·布莱克,雷古勒斯·布莱克,弟弟
小天狼星·布莱克,霍格沃茨魔法学校,从属
尤安·阿伯克龙比,格兰芬多,从属
尤安·阿伯克龙比,霍格沃茨魔法学校,从属
尤里克·甘普,威森加摩,从属
尤里克·甘普,威森加摩首席魔法师,职业
尤里克·甘普,英国政府,从属
尤里克·甘普,英国魔法部,从属
尤里克·甘普,魔法部部长,职业
尼古拉斯·德·敏西-波平顿,亨利七世宫廷,从属
尼古拉斯·德·敏西-波平顿,无头猎手队,从属
尼古拉斯·德·敏西-波平顿,霍格沃茨魔法学校,从属
尼法朵拉·唐克斯,傲罗办公室,从属
尼法朵拉·唐克斯,先遣警卫,从属
尼法朵拉·唐克斯,凤凰社,从属
尼法朵拉·唐克斯,卢修斯·马尔福,叔叔
尼法朵拉·唐克斯,卢平家族,从属
尼法朵拉·唐克斯,唐克斯家族,从属
尼法朵拉·唐克斯,安多米达·唐克斯,母亲
尼法朵拉·唐克斯,德拉科·马尔福,表弟
尼法朵拉·唐克斯,德鲁埃拉·布莱克,外婆
尼法朵拉·唐克斯,泰德·卢平,儿子
尼法朵拉·唐克斯,泰德·唐克斯,父亲
尼法朵拉·唐克斯,罗道夫斯·莱斯特兰奇,叔叔
尼法朵拉·唐克斯,英国魔法部,从属
尼法朵拉·唐克斯,莱姆斯·卢平,丈夫
尼法朵拉·唐克斯,莱尔·卢平,公公
尼法朵拉·唐克斯,西格纳斯·布莱克三世,外公
尼法朵拉·唐克斯,霍格沃茨,从属
巴克比克,凤凰社,从属
巴克比克,哈利·波特,从属
巴克比克,小天狼星·布莱克,从属
巴克比克,赫敏·格兰杰,从属
巴克比克,邓布利多军,从属
巴克比克,霍格沃茨魔法学校,从属
巴克比克,鲁伯·海格,从属
巴托罗缪·巴瑞波恩,巴瑞波恩家族,从属
巴托罗缪·巴瑞波恩,肃清者,从属
巴麦尊勋爵,英国,从属
巴麦尊勋爵,英国政府,从属
巴麦尊勋爵,英国首相,职业
巴麦尊勋爵,麻瓜社会,从属
布莱奇,布莱奇家庭,从属
布莱奇,魔法部,从属
帕翠霞·斯廷森,霍格沃茨魔法学校,从属
弗兰克·隆巴顿,纳威·隆巴顿,祖孙
弗农·德思礼,伊万斯先生,岳父
弗农·德思礼,伊万斯夫人,岳母
弗农·德思礼,佩妮·伊万斯,妻子
弗农·德思礼,哈利·波特,外甥
弗农·德思礼,德思礼夫人,儿媳
弗农·德思礼,德思礼夫人,母亲
弗农·德思礼,德思礼家庭,从属
弗农·德思礼,格朗宁公司,从属
弗农·德思礼,玛姬·德思礼,姐姐
弗农·德思礼,莉莉·伊万斯,小姨
弗农·德思礼,莉莉·卢娜·波特,外甥孙女
弗农·德思礼,詹姆·小天狼星·波特,外甥孙
弗农·德思礼,詹姆·波特,妹夫
弗农·德思礼,达力·德思礼,儿子
弗农·德思礼,金妮·韦斯莱,外甥媳婦
弗农·德思礼,阿不思·西弗勒斯·波特,外甥孙
弗利蒙·波特,亨利·波特,父亲
弗利蒙·波特,伊格诺图斯·佩弗利尔,祖先
弗利蒙·波特,佩弗利尔家族,从属
弗利蒙·波特,哈利·波特,孙子
弗利蒙·波特,尤菲米娅·波特,妻子
弗利蒙·波特,斯廷奇库姆的林弗雷德,祖先
弗利蒙·波特,格兰芬多,从属
